WISH-001 | product-detail | Wishlist toggle on product detail (heart icon)
QNA-001 | product-detail | Product inquiry (Q&A tab) with write modal
REVIEW-001 | product-detail | Product review list (rating/stats/filters) — write only via mypage orders modal
REVIEW-002 | product-detail | Inline review write button on product detail page — ABSENT
OPT-001 | product-detail | Multi-option selector (sequential, group-by-group)
OPT-002 | product-detail | Additional option selector (per selected option) with custom text
PRICE-001 | product-detail | Option price display (sale/list/discount) on detail
STOCK-001 | product-detail | Stock display on product detail — limited to status banner + qty limits
CART-001 | product-detail | Add-to-cart with selected options + additional options + quantity
CART-002 | cart | Cart line items (select / qty / option change / delete)
CART-003 | cart | Cart summary (subtotal / discount / shipping / tax)
CART-004 | cart | Proceed-to-checkout (creates temp order, redirects to checkout)
CHK-001 | checkout | Checkout page (items, discount, mileage, orderer, shipping, payment, summary)
CHK-002 | checkout | Orderer info (name, phone, email) with optional guest lookup password
CHK-003 | checkout | Coupon input (order coupon, shipping coupon, discount code)
CHK-004 | checkout | Mileage/point input (use + apply)
ADDR-001 | checkout | Address book quick-pick (saved address chips) on checkout
CHK-005 | checkout | 주문자정보와동일 (same-as-orderer checkbox)
CHK-006 | checkout | Save-shipping-address checkbox on checkout
PAY-001 | checkout | Payment method list (dbank/card/vbank + plugin methods)
PAY-002 | checkout | Payment method detail forms (card notice / vbank refund / dbank bank picker)
PAY-003 | checkout | Pay button + final order create (member/guest) with PG dispatch
GUEST-001 | guest-order | Guest order lookup (form with order_number + phone + password)
ADDR-002 | mypage-address | Address book list (mypage/addresses)
WISH-002 | mypage-wishlist | Wishlist list (mypage/wishlist)
QNA-002 | mypage-inquiry | My inquiries list (mypage/inquiries)
REORDER-001 | mypage-orders | Reorder from order detail
REVIEW-003 | mypage-orders | Write review (from order detail, only when can_write_review)
COUP-001 | coupon | Coupon types: fixed/rate, scope: product_amount/order_amount/shipping_fee, target_scope: all/products/categories, issue_
COUP-002 | coupon | Coupon issuance: direct (admin -> users), download (user), auto (signup/first_purchase/birthday via signup/event trigger
MILE-001 | point/mileage | Mileage ledger: 8 transaction types (purchase_earn, admin_earn, order_use, admin_deduct, expired, refund_restore, order_
MILE-002 | point/mileage | Member mileage account: balance view (cached), max-usable at checkout (min_use_amount, use_unit, max_use_type percent/fi
MLP-001 | member-level pricing | NOT IMPLEMENTED. Only DTO placeholders exist for an external plugin: CalculationInput.metadata.user_grade_id, Calculatio
INQ-001 | Auxiliary ecommerce | Product inquiry (1:1 문의) — member auth required for write, public list incl. guest; admin/manager with inquiries.update 
REV-001 | Auxiliary ecommerce | Product reviews (상품후기) — public list per product (rating stats + per-option filter, photo_only, sort, per_page≤50, ratin
WIS-001 | Auxiliary ecommerce | Wishlist / favorite (찜) — member-only; toggle endpoint adds or removes; returns {added: bool}; validation requires produ
REC-001 | Auxiliary ecommerce | Recent-viewed products (최근 본 상품) — client-driven (cookie/localStorage holds ids); server endpoint only resolves ids to P
NOTIF-001 | Auxiliary ecommerce — notifications | Order & inquiry notifications — 10 declarative notification types in modules/sirsoft-ecommerce/module.php::getNotificati
CART-001 | Auxiliary ecommerce — cart | Member cart merge on login (비회원→회원 장바구니 병합) — triggered by HookManager 'core.auth.after_login' (priority 20, sync=true —
PERM-001 | Auxiliary ecommerce — permissions | Admin & user permission names (sirsoft-ecommerce.{category}.{action}) — defined in modules/sirsoft-ecommerce/module.php:
QTY-001 | Auxiliary ecommerce — quantity validation | Quantity edge validation — FormRequests validate quantity: required, integer, min:1, max:config('sirsoft-ecommerce.cart.
AUTH-001 | Auxiliary ecommerce — auth/CSRF | CSRF / auth middleware on shop API routes — API layer is Bearer-token (Sanctum), CSRF is intentionally NOT applied. Midd
EXT-001 | Auxiliary ecommerce — GDPR + marketing plugins (in /plugins/_bundled) | Installed sirsoft-gdpr and sirsoft-marketing plugins (separate from ecommerce module). They are NOT present in /home/bah
PARITY-001 | QA regression baseline | Existing parity/QA coverage summary. (1) _workspace/still-form/CHECKOUT_PARITY_MATRIX.md (67 lines, 2026-08-31) is a tab
OPT-001 | product_options_inventory | Product option single dimension (free-form JSON)
OPT-002 | product_options_inventory | Option combination row (variant)
OPT-003 | product_options_inventory | Additional option (추가옵션) group + value model
OPT-004 | product_options_inventory | Additional option value (price add only)
OPT-005 | product_options_inventory | Option price add/subtract logic
OPT-006 | product_options_inventory | Additional option total aggregation (per unit)
OPT-007 | product_options_inventory | Per-option stock_quantity (integer) + safe_stock_quantity
OPT-008 | product_options_inventory | Product-level stock mirror of option sum
OPT-009 | product_options_inventory | Cart-level stock validation (add/update/changeOption)
OPT-010 | product_options_inventory | Stock decrement (order-time) with lock + transaction
OPT-011 | product_options_inventory | Idempotency flag is_stock_deducted
OPT-012 | product_options_inventory | Stock restore on cancel (per order option)
OPT-013 | product_options_inventory | Concurrent stock protection (row lock + atomic update)
OPT-014 | product_options_inventory | Stock decrement timing (payment-method-based)
OPT-015 | product_options_inventory | Stock rededuct on cancel-revert (per-option)
OPT-016 | product_options_inventory | Order option source_type enum + self-referencing parent_option_id
OPT-017 | product_options_inventory | Cart row (option-bound + additional option selections)
OPT-018 | product_options_inventory | Additional option selection validation (server SSoT)
OPT-019 | product_options_inventory | Product sales_status enum (4 states)
OPT-020 | product_options_inventory | Product display_status enum (2 states)
OPT-021 | product_options_inventory | Product tax_status enum + tax_rate
OPT-022 | product_options_inventory | Product base schema (price/sku/sale/exposure/category/sort)
OPT-023 | product_options_inventory | Product-Category many-to-many (with is_primary)
OPT-024 | product_options_inventory | Category tree (parent_id + materialized path)
OPT-025 | product_options_inventory | Product image (hash-based url + collection + is_thumbnail)
OPT-026 | product_options_inventory | Stock consistency check (product vs options)
OPT-027 | product_options_inventory | Admin bulk price/stock update (increase/decrease/set)
OPT-028 | product_options_inventory | Admin bulk stock update with product mirror sync
OPT-029 | product_options_inventory | Order option row schema (snapshot + discounts + multi-currency)
OPT-030 | product_options_inventory | Stock hooks (deduct/restore before/after)
OPT-031 | product_options_inventory | Option stock change → product sync (listener)
OPT-032 | product_options_inventory | Per-product min/max purchase qty enforcement (cart)
OPT-033 | product_options_inventory | Out-of-stock validation exception
OPT-034 | product_options_inventory | SKU (product + per-option)
MOD-VER-001 | ecommerce core | Module version + copy identity
